pathway_name,pathway_source,num_overlapping_genes,overlapping_genes,num_all_pathway_genes,P_genes,Q_genes,num_overlapping_metabolites,overlapping_metabolites,num_all_pathway_metabolites,P_metabolites,Q_metabolites,P_joint,Q_joint
Progesterone-mediated oocyte maturation - Homo sapiens (human),KEGG,0,,100 (100),1,1,1,HMDB01830,3 (4),0.0597,0.823,0.228,0.664
no2-dependent il-12 pathway in nk cells,BioCarta,0,,9 (9),1,1,1,HMDB00517,3 (3),0.0597,0.823,0.228,0.664
phosphatidylserine biosynthesis I,HumanCyc,0,,1 (1),1,1,1,HMDB0007982#HMDB0007938,3 (4),0.0597,0.823,0.228,0.664
EPHA2 forward signaling,PID,0,,18 (18),1,1,1,HMDB00277,3 (3),0.0597,0.823,0.228,0.664
Agmatine biosynthesis,Reactome,0,,1 (1),1,1,1,HMDB00517,3 (3),0.0597,0.823,0.228,0.664
Lysosphingolipid and LPA receptors,Reactome,0,,14 (14),1,1,1,HMDB00277,3 (5),0.0597,0.823,0.228,0.664
Sterol regulatory element-binding proteins (SREBP) signaling,Wikipathways,0,,68 (68),1,1,1,HMDB00641,3 (5),0.0597,0.823,0.228,0.664
Thyroxine (Thyroid Hormone) Production,Wikipathways,0,,6 (6),1,1,1,HMDB00158,3 (4),0.0597,0.823,0.228,0.664
Opioid Signalling,Reactome,0,,91 (91),1,1,2,HMDB10382#HMDB10383#HMDB10404#HMDB10395#HMDB10397;HMDB0007982#HMDB0007938,20 (23),0.0609,0.825,0.231,0.667
Phenylalanine metabolism,Reactome,0,,8 (8),1,1,2,HMDB00191;HMDB00158,20 (22),0.0609,0.825,0.231,0.667
Betaine Metabolism,SMPDB,0,,8 (8),1,1,2,HMDB00092;HMDB00043,20 (22),0.0609,0.825,0.231,0.667
Pathways of neurodegeneration - multiple diseases - Homo sapiens (human),KEGG,0,,475 (475),1,1,2,HMDB00895;HMDB00517,20 (32),0.0609,0.825,0.231,0.667
FOXO-mediated transcription,Reactome,1,RETN,62 (62),0.335,1,1,HMDB00063,10 (12),0.186,1,0.235,0.677
Leptin and adiponectin,Wikipathways,1,LEPR,10 (10),0.0636,1,0,,2 (4),1,1,0.239,0.678
Hyaluronan uptake and degradation,Reactome,1,GUSB,10 (10),0.0636,1,0,,5 (7),1,1,0.239,0.678
Reactions specific to the complex N-glycan synthesis pathway,Reactome,1,LHB,10 (10),0.0636,1,0,,9 (19),1,1,0.239,0.678
Calcineurin activates NFAT,Reactome,1,NFATC3,10 (10),0.0636,1,0,,3 (4),1,1,0.239,0.678
Gamma-carboxylation of protein precursors,Reactome,1,F7,10 (10),0.0636,1,0,,4 (6),1,1,0.239,0.678
Intracellular Signalling Through LHCGR Receptor and Luteinizing Hormone/Choriogonadotropin,SMPDB,1,LHB,10 (10),0.0636,1,0,,7 (7),1,1,0.239,0.678
Alcoholism - Homo sapiens (human),KEGG,2,CRH;DDC,186 (187),0.345,1,1,HMDB00158,10 (10),0.186,1,0.24,0.68
Disulfiram Action Pathway,SMPDB,1,DDC,25 (25),0.152,1,2,HMDB00191;HMDB00158,72 (77),0.433,1,0.245,0.69
Cell-cell junction organization,Reactome,2,PVR;NECTIN2,64 (64),0.0659,1,0,,1 (2),1,1,0.245,0.69
Urea cycle,Reactome,0,,10 (10),1,1,2,HMDB00191;HMDB00517,21 (23),0.0664,0.888,0.247,0.69
Neurotransmitter receptors and postsynaptic signal transmission,Reactome,0,,185 (185),1,1,2,HMDB10164;HMDB00895,21 (24),0.0664,0.888,0.247,0.69
Pyrimidine biosynthesis,Reactome,0,,3 (3),1,1,2,HMDB00641;HMDB00191,21 (22),0.0664,0.888,0.247,0.69
Signaling by ROBO receptors,Reactome,2,CXCL12;ROBO2,65 (65),0.0677,1,0,,6 (9),1,1,0.25,0.69
Tuberculosis - Homo sapiens (human),KEGG,1,LSP1,179 (180),0.694,1,1,HMDB00277,5 (18),0.0976,1,0.25,0.69
Amphetamine addiction - Homo sapiens (human),KEGG,1,DDC,69 (69),0.365,1,1,HMDB00158,10 (10),0.186,1,0.25,0.69
RAF/MAP kinase cascade,Reactome,4,GFRA2;ERBB3;HGF;RET,235 (235),0.0684,1,0,,22 (36),1,1,0.252,0.69
Bile acid biosynthesis,EHMN,0,,53 (53),1,1,3,HMDB00138;HMDB0000619;HMDB0000518,47 (55),0.0685,0.913,0.252,0.69
MAPK1/MAPK3 signaling,Reactome,4,GFRA2;ERBB3;HGF;RET,236 (236),0.0692,1,0,,22 (36),1,1,0.254,0.69
EV release from cardiac cells and their functional effects,Wikipathways,1,CXCL12,11 (11),0.0698,1,0,,2 (3),1,1,0.256,0.69
MET activates RAS signaling,Reactome,1,HGF,11 (11),0.0698,1,0,,4 (4),1,1,0.256,0.69
Gamma-carboxylation_ transport_ and amino-terminal cleavage of proteins,Reactome,1,F7,11 (11),0.0698,1,0,,4 (6),1,1,0.256,0.69
Signaling by Leptin,Reactome,1,LEPR,11 (11),0.0698,1,0,,2 (2),1,1,0.256,0.69
Interaction With Cumulus Cells And The Zona Pellucida,Reactome,1,B4GALT1,11 (11),0.0698,1,0,,1 (1),1,1,0.256,0.69
pertussis toxin-insensitive ccr5 signaling in macrophage,BioCarta,1,CXCL12,11 (11),0.0698,1,0,,1 (2),1,1,0.256,0.69
GLUT-1 deficiency syndrome,SMPDB,1,B4GALT1,11 (11),0.0698,1,0,,17 (19),1,1,0.256,0.69
Congenital disorder of glycosylation CDG-IId,SMPDB,1,B4GALT1,11 (11),0.0698,1,0,,17 (19),1,1,0.256,0.69
Lactose Synthesis,SMPDB,1,B4GALT1,11 (11),0.0698,1,0,,17 (19),1,1,0.256,0.69
Glycosphingolipid metabolism,EHMN,1,SMPD1,69 (69),0.365,1,2,HMDB00277;HMDB13464,40 (52),0.194,1,0.259,0.697
Integrated breast cancer pathway,Wikipathways,2,GRN;TFPI,67 (67),0.0713,1,0,,8 (19),1,1,0.26,0.697
PI3K-Akt signaling pathway,Wikipathways,5,ITGA11;HGF;TCL1A;PGF;OSMR,339 (340),0.0716,1,0,,3 (4),1,1,0.26,0.697
superpathway of pyrimidine ribonucleotides <i>de novo</i> biosynthesis,HumanCyc,0,,15 (15),1,1,2,HMDB00641;HMDB00191,22 (23),0.0722,0.946,0.262,0.697
Synthesis of PC,Reactome,0,,29 (29),1,1,2,HMDB00895;HMDB0007982#HMDB0007938,22 (28),0.0722,0.946,0.262,0.697
Extra-nuclear estrogen signaling,Reactome,0,,73 (73),1,1,2,HMDB00277;HMDB00517,22 (24),0.0722,0.946,0.262,0.697
C21-steroid hormone biosynthesis and metabolism,EHMN,1,HSD11B1,57 (57),0.313,1,2,HMDB00063;HMDB01830,46 (61),0.239,1,0.269,0.697
Metabolism of Spingolipids in ER and Golgi apparatus,Wikipathways,1,B4GALT1,12 (12),0.0759,1,0,,10 (21),1,1,0.272,0.697
Hyaluronan metabolism,Reactome,1,GUSB,12 (12),0.0759,1,0,,5 (7),1,1,0.272,0.697
Pre-NOTCH Processing in Golgi,Reactome,1,B4GALT1,12 (12),0.0759,1,0,,5 (5),1,1,0.272,0.697
CLEC7A (Dectin-1) induces NFAT activation,Reactome,1,NFATC3,12 (12),0.0759,1,0,,4 (5),1,1,0.272,0.697
g-protein signaling through tubby proteins,BioCarta,1,CXCL12,12 (12),0.0759,1,0,,1 (2),1,1,0.272,0.697
Tetrahydrobiopterin (BH4) synthesis_ recycling_ salvage and regulation,Reactome,1,PTS,12 (12),0.0759,1,0,,21 (27),1,1,0.272,0.697
CD28 dependent Vav1 pathway,Reactome,1,CD28,12 (12),0.0759,1,0,,5 (5),1,1,0.272,0.697
Cerebral organic acidurias_ including diseases,Wikipathways,0,,3 (3),1,1,2,HMDB00191;HMDB00929,23 (27),0.078,0.964,0.277,0.697
NAD <i>de novo</i> biosynthesis,HumanCyc,0,,12 (12),1,1,2,HMDB00641;HMDB00929,23 (24),0.078,0.964,0.277,0.697
Aspartate and asparagine metabolism,Reactome,0,,12 (12),1,1,2,HMDB00641;HMDB00191,23 (24),0.078,0.964,0.277,0.697
Free fatty acid receptors,Reactome,0,,5 (5),1,1,2,HMDB01388;HMDB01999,23 (24),0.078,0.964,0.277,0.697
Ascorbate and aldarate metabolism - Homo sapiens (human),KEGG,1,GUSB,30 (30),0.179,1,1,HMDB10318#HMDB02596,28 (57),0.439,1,0.278,0.697
Proton-coupled neutral amino acid transporters,Reactome,0,,2 (2),1,1,1,HMDB00162,4 (4),0.0788,0.964,0.279,0.697
Breast cancer pathway,Wikipathways,0,,154 (154),1,1,1,HMDB01830,4 (4),0.0788,0.964,0.279,0.697
Disinhibition of SNARE formation,Reactome,0,,5 (5),1,1,1,HMDB10164,4 (5),0.0788,0.964,0.279,0.697
Regulation of Actin Cytoskeleton,Wikipathways,0,,151 (151),1,1,1,HMDB00895,4 (5),0.0788,0.964,0.279,0.697
PTK6 Expression,Reactome,0,,5 (5),1,1,1,HMDB00063,4 (4),0.0788,0.964,0.279,0.697
glutamine degradation/glutamate biosynthesis,HumanCyc,0,,3 (3),1,1,1,HMDB00641,4 (4),0.0788,0.964,0.279,0.697
Oocyte meiosis - Homo sapiens (human),KEGG,0,,129 (129),1,1,1,HMDB01830,4 (4),0.0788,0.964,0.279,0.697
Acyl chain remodelling of PS,Reactome,0,,22 (22),1,1,1,HMDB10164,4 (9),0.0788,0.964,0.279,0.697
Activation of NF-kappaB in B cells,Reactome,0,,18 (18),1,1,1,HMDB10164,4 (5),0.0788,0.964,0.279,0.697
S1P1 pathway,PID,0,,20 (20),1,1,1,HMDB00277,4 (4),0.0788,0.964,0.279,0.697
S1P3 pathway,PID,0,,26 (26),1,1,1,HMDB00277,4 (4),0.0788,0.964,0.279,0.697
S1P2 pathway,PID,0,,26 (26),1,1,1,HMDB00277,4 (4),0.0788,0.964,0.279,0.697
Sperm Motility And Taxes,Reactome,0,,9 (9),1,1,1,HMDB01830,4 (4),0.0788,0.964,0.279,0.697
Amino acids regulate mTORC1,Reactome,0,,34 (34),1,1,1,HMDB00517,4 (4),0.0788,0.964,0.279,0.697
aspartate biosynthesis,HumanCyc,0,,2 (2),1,1,1,HMDB00191,4 (4),0.0788,0.964,0.279,0.697
WNT5A-dependent internalization of FZD4,Reactome,0,,15 (15),1,1,1,HMDB10164,4 (5),0.0788,0.964,0.279,0.697
Sphingosine 1-phosphate (S1P) pathway,PID,0,,21 (21),1,1,1,HMDB00277,4 (5),0.0788,0.964,0.279,0.697
beta-Alanine metabolism - Homo sapiens (human),KEGG,1,AOC3,30 (30),0.179,1,1,HMDB00191,29 (32),0.45,1,0.284,0.7
Non-small cell lung cancer - Homo sapiens (human),KEGG,2,HGF;RET,72 (72),0.0808,1,0,,6 (6),1,1,0.284,0.7
Myometrial relaxation and contraction pathways,Wikipathways,3,CRH;ADM;IGFBP3,155 (155),0.0815,1,0,,4 (4),1,1,0.286,0.7
MFAP5-mediated ovarian cancer cell motility and invasiveness,Wikipathways,1,MFAP5,13 (13),0.0819,1,0,,3 (3),1,1,0.287,0.7
ERBB2 Activates PTK6 Signaling,Reactome,1,ERBB3,13 (13),0.0819,1,0,,2 (2),1,1,0.287,0.7
Serotonin and anxiety-related events,Wikipathways,1,CRH,13 (13),0.0819,1,0,,1 (2),1,1,0.287,0.7
Downregulation of ERBB2:ERBB3 signaling,Reactome,1,ERBB3,13 (13),0.0819,1,0,,2 (2),1,1,0.287,0.7
activation of pkc through g-protein coupled receptors,BioCarta,1,CXCL12,13 (13),0.0819,1,0,,2 (3),1,1,0.287,0.7
Galactose metabolism,INOH,1,B4GALT1,13 (13),0.0819,1,0,,14 (15),1,1,0.287,0.7
Galactose Metabolism,SMPDB,1,B4GALT1,13 (13),0.0819,1,0,,31 (36),1,1,0.287,0.7
Galactosemia,SMPDB,1,B4GALT1,13 (13),0.0819,1,0,,31 (36),1,1,0.287,0.7
NAD Biosynthesis II (from tryptophan),Wikipathways,0,,8 (8),1,1,2,HMDB00641;HMDB00929,24 (24),0.0841,1,0.292,0.708
alpha-Linolenic acid metabolism - Homo sapiens (human),KEGG,0,,25 (25),1,1,2,HMDB01388;HMDB0007982#HMDB0007938,24 (44),0.0841,1,0.292,0.708
Reproduction,Reactome,1,B4GALT1,105 (106),0.5,1,1,HMDB01830,9 (11),0.169,1,0.293,0.708
Formation of the cornified envelope,Reactome,2,PRSS8;DSG3,75 (75),0.0866,1,0,,6 (10),1,1,0.299,0.708
Hyperprolinemia Type II,SMPDB,0,,20 (20),1,1,3,HMDB00162;HMDB00191;HMDB00517,52 (52),0.0871,1,0.3,0.708
Ornithine Aminotransferase Deficiency (OAT Deficiency),SMPDB,0,,20 (20),1,1,3,HMDB00162;HMDB00191;HMDB00517,52 (52),0.0871,1,0.3,0.708
Creatine deficiency_ guanidinoacetate methyltransferase deficiency,SMPDB,0,,20 (20),1,1,3,HMDB00162;HMDB00191;HMDB00517,52 (52),0.0871,1,0.3,0.708
Prolidase Deficiency (PD),SMPDB,0,,20 (20),1,1,3,HMDB00162;HMDB00191;HMDB00517,52 (52),0.0871,1,0.3,0.708
Arginine and Proline Metabolism,SMPDB,0,,20 (20),1,1,3,HMDB00162;HMDB00191;HMDB00517,52 (52),0.0871,1,0.3,0.708
Hyperornithinemia with gyrate atrophy (HOGA),SMPDB,0,,20 (20),1,1,3,HMDB00162;HMDB00191;HMDB00517,52 (52),0.0871,1,0.3,0.708
L-arginine:glycine amidinotransferase deficiency,SMPDB,0,,20 (20),1,1,3,HMDB00162;HMDB00191;HMDB00517,52 (52),0.0871,1,0.3,0.708
Hyperornithinemia-hyperammonemia-homocitrullinuria [HHH-syndrome],SMPDB,0,,20 (20),1,1,3,HMDB00162;HMDB00191;HMDB00517,52 (52),0.0871,1,0.3,0.708
Guanidinoacetate Methyltransferase Deficiency (GAMT Deficiency),SMPDB,0,,20 (20),1,1,3,HMDB00162;HMDB00191;HMDB00517,52 (52),0.0871,1,0.3,0.708
Prolinemia Type II,SMPDB,0,,20 (20),1,1,3,HMDB00162;HMDB00191;HMDB00517,52 (52),0.0871,1,0.3,0.708
Hyperprolinemia Type I,SMPDB,0,,20 (20),1,1,3,HMDB00162;HMDB00191;HMDB00517,52 (52),0.0871,1,0.3,0.708
Arginine: Glycine Amidinotransferase Deficiency (AGAT Deficiency),SMPDB,0,,20 (20),1,1,3,HMDB00162;HMDB00191;HMDB00517,52 (52),0.0871,1,0.3,0.708
MET promotes cell motility,Reactome,1,HGF,14 (14),0.0879,1,0,,4 (4),1,1,0.302,0.711
TP53 Regulates Transcription of Death Receptors and Ligands,Reactome,2,TNFRSF10A;IGFBP3,12 (12),0.00268,0.712,0,,0 (0),1,1,0.00268,0.712
Genes controlling nephrogenesis,Wikipathways,3,RET;CXCL12;ROBO2,43 (43),0.00277,0.712,0,,0 (0),1,1,0.00277,0.712
Hormone ligand-binding receptors,Reactome,2,LHB;TSHB,13 (13),0.00316,0.712,0,,0 (0),1,1,0.00316,0.712
Cytokine-cytokine receptor interaction - Homo sapiens (human),KEGG,7,TNFSF13;IL1RL2;TNFRSF10A;LEPR;CXCL12;OSMR;CCL28,295 (295),0.00319,0.712,0,,0 (0),1,1,0.00319,0.712
VEGFA-VEGFR2 Pathway,Reactome,0,,92 (92),1,1,2,HMDB00277;HMDB00517,25 (26),0.0902,1,0.307,0.72
sarcosine oncometabolite pathway ,SMPDB,0,,13 (13),1,1,2,HMDB00092;HMDB00043,25 (26),0.0902,1,0.307,0.72
GPCR signaling-G alpha i,INOH,4,CRH;TSHB;HGF;LHB,262 (262),0.0931,1,0,,2 (2),1,1,0.314,0.72
GPCR signaling-pertussis toxin,INOH,4,CRH;TSHB;HGF;LHB,262 (262),0.0931,1,0,,2 (2),1,1,0.314,0.72
ERBB2 Regulates Cell Motility,Reactome,1,ERBB3,15 (15),0.0939,1,0,,1 (1),1,1,0.316,0.72
N-Glycan antennae elongation,Reactome,1,B4GALT1,15 (15),0.0939,1,0,,2 (6),1,1,0.316,0.72
Hereditary Coproporphyria (HCP),SMPDB,1,GUSB,15 (15),0.0939,1,0,,39 (39),1,1,0.316,0.72
Porphyria Variegata (PV),SMPDB,1,GUSB,15 (15),0.0939,1,0,,39 (39),1,1,0.316,0.72
Congenital Erythropoietic Porphyria (CEP) or Gunther Disease,SMPDB,1,GUSB,15 (15),0.0939,1,0,,39 (39),1,1,0.316,0.72
Acute Intermittent Porphyria,SMPDB,1,GUSB,15 (15),0.0939,1,0,,39 (39),1,1,0.316,0.72
Porphyrin Metabolism,SMPDB,1,GUSB,15 (15),0.0939,1,0,,39 (39),1,1,0.316,0.72
Non Ketotic Hyperglycinemia,SMPDB,0,,27 (27),1,1,3,HMDB00092;HMDB00517;HMDB00043,54 (55),0.0951,1,0.319,0.72
Glycine and Serine Metabolism,SMPDB,0,,27 (27),1,1,3,HMDB00092;HMDB00517;HMDB00043,54 (55),0.0951,1,0.319,0.72
3-Phosphoglycerate dehydrogenase deficiency,SMPDB,0,,27 (27),1,1,3,HMDB00092;HMDB00517;HMDB00043,54 (55),0.0951,1,0.319,0.72
Dimethylglycine Dehydrogenase Deficiency,SMPDB,0,,27 (27),1,1,3,HMDB00092;HMDB00517;HMDB00043,54 (55),0.0951,1,0.319,0.72
Hyperglycinemia_ non-ketotic,SMPDB,0,,27 (27),1,1,3,HMDB00092;HMDB00517;HMDB00043,54 (55),0.0951,1,0.319,0.72
Dimethylglycine Dehydrogenase Deficiency,SMPDB,0,,27 (27),1,1,3,HMDB00092;HMDB00517;HMDB00043,54 (55),0.0951,1,0.319,0.72
Sarcosinemia,SMPDB,0,,27 (27),1,1,3,HMDB00092;HMDB00517;HMDB00043,54 (55),0.0951,1,0.319,0.72
Dihydropyrimidine Dehydrogenase Deficiency (DHPD),SMPDB,0,,27 (27),1,1,3,HMDB00092;HMDB00517;HMDB00043,54 (55),0.0951,1,0.319,0.72
Nicotinate Nicotinamide metabolism,INOH,0,,23 (23),1,1,2,HMDB00641;HMDB00855,26 (26),0.0965,1,0.322,0.72
B cell receptor signaling pathway - Homo sapiens (human),KEGG,2,LILRA5;NFATC3,80 (82),0.0966,1,0,,4 (4),1,1,0.322,0.72
Pentose and glucuronate interconversions - Homo sapiens (human),KEGG,1,GUSB,34 (34),0.2,1,1,HMDB10318#HMDB02596,32 (58),0.483,1,0.323,0.72
Oxysterols derived from cholesterol,Wikipathways,0,,15 (15),1,1,1,HMDB12453,5 (10),0.0976,1,0.325,0.72
Kisspeptin-kisspeptin receptor system in the ovary,Wikipathways,0,,39 (39),1,1,1,HMDB01830,5 (6),0.0976,1,0.325,0.72
NO metabolism in cystic fibrosis,Wikipathways,0,,13 (13),1,1,1,HMDB00517,5 (9),0.0976,1,0.325,0.72
Trafficking of AMPA receptors,Reactome,0,,30 (30),1,1,1,HMDB10164,5 (6),0.0976,1,0.325,0.72
Acyl chain remodelling of PE,Reactome,0,,29 (29),1,1,1,HMDB0007982#HMDB0007938,5 (13),0.0976,1,0.325,0.72
Trafficking of GluR2-containing AMPA receptors,Reactome,0,,16 (16),1,1,1,HMDB10164,5 (6),0.0976,1,0.325,0.72
nitric oxide signaling pathway,BioCarta,0,,19 (19),1,1,1,HMDB00517,5 (5),0.0976,1,0.325,0.72
how progesterone initiates the oocyte maturation,BioCarta,0,,23 (23),1,1,1,HMDB01830,5 (5),0.0976,1,0.325,0.72
Scavenging by Class B Receptors,Reactome,0,,7 (7),1,1,1,HMDB10164,5 (16),0.0976,1,0.325,0.72
Ceramide signalling,Reactome,0,,3 (3),1,1,1,HMDB13464,5 (5),0.0976,1,0.325,0.72
Metabolism of carbohydrates,Reactome,4,B4GAT1;HS6ST1;B4GALT1;GUSB,284 (285),0.116,1,1,HMDB00191,90 (157),0.847,1,0.326,0.722
Synthesis of bile acids and bile salts,Reactome,0,,30 (30),1,1,3,HMDB03533;HMDB0000619;HMDB00138,55 (75),0.0992,1,0.328,0.724
PI3K events in ERBB2 signaling,Reactome,1,ERBB3,16 (16),0.0999,1,0,,3 (4),1,1,0.33,0.724
Glycosphingolipid biosynthesis - neolactoseries,EHMN,1,B4GAT1,16 (16),0.0999,1,0,,8 (48),1,1,0.33,0.724
Caspase activation via Death Receptors in the presence of ligand,Reactome,1,TNFRSF10A,16 (16),0.0999,1,0,,1 (1),1,1,0.33,0.724
Retinoid metabolism and transport,Reactome,1,APOM,45 (45),0.256,1,1,HMDB00673,24 (37),0.39,1,0.33,0.724
MAPK family signaling cascades,Reactome,4,ERBB3;RET;GFRA2;HGF,270 (270),0.101,1,0,,22 (36),1,1,0.333,0.725
GPCR signaling-cholera toxin,INOH,4,CRH;TSHB;HGF;LHB,270 (270),0.101,1,0,,4 (4),1,1,0.333,0.725
GPCR signaling-G alpha s Epac and ERK,INOH,4,CRH;TSHB;HGF;LHB,272 (272),0.103,1,0,,4 (4),1,1,0.337,0.725
EGFR Tyrosine Kinase Inhibitor Resistance,Wikipathways,2,ERBB3;HGF,84 (84),0.105,1,0,,3 (5),1,1,0.341,0.725
C-type lectin receptors (CLRs),Reactome,2,CLEC4A;NFATC3,84 (84),0.105,1,0,,12 (18),1,1,0.341,0.725
Signaling by the B Cell Receptor (BCR),Reactome,1,NFATC3,126 (126),0.565,1,1,HMDB10164,10 (14),0.186,1,0.341,0.725
GPCR signaling-G alpha q,INOH,4,CRH;TSHB;HGF;LHB,274 (274),0.105,1,0,,5 (6),1,1,0.342,0.725
Leptin Insulin Overlap,Wikipathways,1,LEPR,17 (17),0.106,1,0,,1 (2),1,1,0.343,0.725
Serotonin and anxiety,Wikipathways,1,CRH,17 (17),0.106,1,0,,2 (4),1,1,0.343,0.725
Glycosaminoglycan degradation,Wikipathways,1,GUSB,17 (17),0.106,1,0,,3 (5),1,1,0.343,0.725
ACE Inhibitor Pathway,Wikipathways,1,ATP6AP2,17 (17),0.106,1,0,,6 (10),1,1,0.343,0.725
Infectious disease,Reactome,5,CRH;LHB;CD28;TSHB;ADM,750 (750),0.549,1,3,HMDB00855;HMDB0000619;HMDB0000518,75 (127),0.194,1,0.345,0.725
Ovarian steroidogenesis - Homo sapiens (human),KEGG,1,LHB,51 (51),0.285,1,1,HMDB01830,23 (24),0.377,1,0.348,0.725
Asparagine N-linked glycosylation,Reactome,3,ASGR1;B4GALT1;LHB,283 (283),0.283,1,2,HMDB00641;HMDB0000619,65 (121),0.383,1,0.349,0.725
Death Receptor Signalling,Reactome,1,TNFRSF10A,134 (134),0.587,1,1,HMDB13464,10 (12),0.186,1,0.351,0.725
Glutamate Glutamine metabolism,INOH,0,,27 (27),1,1,2,HMDB00641;HMDB00191,28 (34),0.109,1,0.352,0.725
MFAP5 effect on permeability and motility of endothelial cells via cytoskeleton rearrangement,Wikipathways,1,MFAP5,18 (18),0.112,1,0,,1 (1),1,1,0.356,0.725
LDL clearance,Reactome,1,PCSK9,18 (18),0.112,1,0,,5 (9),1,1,0.356,0.725
Glycogen synthetase deficiency,SMPDB,1,GUSB,18 (18),0.112,1,0,,29 (29),1,1,0.356,0.725
Glycogenosis_ Type III. Cori disease_ Debrancher glycogenosis,SMPDB,1,GUSB,18 (18),0.112,1,0,,29 (29),1,1,0.356,0.725
Mucopolysaccharidosis VI. Sly syndrome,SMPDB,1,GUSB,18 (18),0.112,1,0,,29 (29),1,1,0.356,0.725
Sucrase-isomaltase deficiency,SMPDB,1,GUSB,18 (18),0.112,1,0,,29 (29),1,1,0.356,0.725
Glycogenosis_ Type IV. Amylopectinosis_ Anderson disease,SMPDB,1,GUSB,18 (18),0.112,1,0,,29 (29),1,1,0.356,0.725
Glycogenosis_ Type VI. Hers disease,SMPDB,1,GUSB,18 (18),0.112,1,0,,29 (29),1,1,0.356,0.725
Starch and Sucrose Metabolism,SMPDB,1,GUSB,18 (18),0.112,1,0,,29 (29),1,1,0.356,0.725
Interconversion of nucleotide di- and triphosphates,Reactome,1,DCTPP1,32 (32),0.19,1,1,HMDB00641,44 (52),0.598,1,0.36,0.725
Cell junction organization,Reactome,2,PVR;NECTIN2,89 (89),0.115,1,0,,1 (2),1,1,0.365,0.725
PD-L1 expression and PD-1 checkpoint pathway in cancer - Homo sapiens (human),KEGG,2,CD28;NFATC3,89 (89),0.115,1,0,,4 (4),1,1,0.365,0.725
Regulation of RUNX2 expression and activity,Reactome,0,,27 (27),1,1,1,HMDB00063,6 (7),0.116,1,0.366,0.725
Neurodegeneration with brain iron accumulation (NBIA) subtypes pathway,Wikipathways,0,,44 (44),1,1,1,HMDB13464,6 (23),0.116,1,0.366,0.725
Reuptake of GABA,Reactome,0,,4 (4),1,1,1,HMDB00043,6 (6),0.116,1,0.366,0.725
Astrocytic Glutamate-Glutamine Uptake And Metabolism,Reactome,0,,4 (4),1,1,1,HMDB00641,6 (6),0.116,1,0.366,0.725
Neurotransmitter uptake and metabolism In glial cells,Reactome,0,,4 (4),1,1,1,HMDB00641,6 (6),0.116,1,0.366,0.725
vegf hypoxia and angiogenesis,BioCarta,0,,30 (30),1,1,1,HMDB00517,6 (6),0.116,1,0.366,0.725
PCP/CE pathway,Reactome,0,,47 (47),1,1,1,HMDB10164,6 (8),0.116,1,0.366,0.725
Melanogenesis - Homo sapiens (human),KEGG,0,,101 (101),1,1,1,HMDB00158,6 (6),0.116,1,0.366,0.725
Sensory processing of sound by outer hair cells of the cochlea,Reactome,0,,50 (50),1,1,1,HMDB00895,6 (7),0.116,1,0.366,0.725
Sensory processing of sound,Reactome,0,,58 (58),1,1,1,HMDB00895,6 (7),0.116,1,0.366,0.725
SHP2 signaling,PID,0,,59 (59),1,1,1,HMDB00517,6 (6),0.116,1,0.366,0.725
Fc-epsilon receptor I signaling in mast cells,PID,0,,62 (62),1,1,1,HMDB0007982#HMDB0007938,6 (8),0.116,1,0.366,0.725
Hydrolysis of LPC,Reactome,0,,11 (11),1,1,1,HMDB10382#HMDB10383#HMDB10404#HMDB10395#HMDB10397,6 (9),0.116,1,0.366,0.725
Cellular response to starvation,Reactome,0,,145 (145),1,1,1,HMDB00517,6 (8),0.116,1,0.366,0.725
Chagas disease - Homo sapiens (human),KEGG,0,,102 (102),1,1,1,HMDB00517,6 (6),0.116,1,0.366,0.725
Leishmaniasis - Homo sapiens (human),KEGG,0,,76 (77),1,1,1,HMDB10164,6 (6),0.116,1,0.366,0.725
SUMO E3 ligases SUMOylate target proteins,Reactome,0,,177 (177),1,1,1,HMDB00063,6 (8),0.116,1,0.366,0.725
Synaptic Vesicle Pathway,Wikipathways,0,,51 (51),1,1,1,HMDB00641,6 (7),0.116,1,0.366,0.725
SUMOylation of intracellular receptors,Reactome,0,,28 (28),1,1,1,HMDB00063,6 (7),0.116,1,0.366,0.725
Kallmann_s Syndrome,Wikipathways,0,,21 (21),1,1,1,HMDB01830,6 (11),0.116,1,0.366,0.725
RXR and RAR heterodimerization with other nuclear receptor,PID,0,,26 (26),1,1,1,HMDB02710,6 (6),0.116,1,0.366,0.725
progesterone biosynthesis,HumanCyc,0,,2 (2),1,1,1,HMDB01830,6 (6),0.116,1,0.366,0.725
Ammonia Recycling,SMPDB,0,,12 (12),1,1,2,HMDB00641;HMDB00191,29 (29),0.116,1,0.366,0.725
GPCR signaling-G alpha s PKA and ERK,INOH,4,CRH;TSHB;HGF;LHB,285 (285),0.117,1,0,,4 (4),1,1,0.368,0.725
Glycosaminoglycan degradation - Homo sapiens (human),KEGG,1,GUSB,19 (19),0.117,1,0,,5 (27),1,1,0.369,0.725
Class B/2 (Secretin family receptors),Reactome,2,CRH;ADM,91 (91),0.12,1,0,,2 (2),1,1,0.374,0.725
16p11.2 proximal deletion syndrome,Wikipathways,1,IGFBP3,79 (79),0.406,1,1,HMDB10382#HMDB10383#HMDB10404#HMDB10395#HMDB10397,17 (40),0.295,1,0.374,0.725
